2025-01-11 07:18:46,535 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 532176), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 101, 'time_relative': 4.759507, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,539 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 539458), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.765631, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,572 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 572093), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 499, 'time_relative': 4.798263, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,573 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 573038), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.799203, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:46,574 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 574072), 'source': '34.139.124.58', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 97, 'time_relative': 4.800236, 'src_port': 443, 'dst_port': 57667, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:46,575 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 46, 575074), 'source': '192.168.1.169', 'destination': '34.139.124.58', 'protocol': 'TCP', 'size': 66, 'time_relative': 4.801242, 'src_port': 57667, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:47,254 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 47, 253757), 'source': '192.168.1.169', 'destination': '35.186.224.41', 'protocol': 'TCP', 'size': 130, 'time_relative': 5.479946, 'src_port': 51867, 'dst_port': 443, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:47,350 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 47, 350757), 'source': '35.186.224.41', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 66, 'time_relative': 5.576911, 'src_port': 443, 'dst_port': 51867, 'tcp_flags': <Flag 16 (A)>}
2025-01-11 07:18:47,445 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 47, 445719), 'source': '35.186.224.41', 'destination': '192.168.1.169', 'protocol': 'TCP', 'size': 100, 'time_relative': 5.67187, 'src_port': 443, 'dst_port': 51867, 'tcp_flags': <Flag 24 (PA)>}
2025-01-11 07:18:47,447 - INFO - Packet Info: {'timestamp': datetime.datetime(2025, 1, 11, 7, 18, 47, 446973), 'source': '192.168.1.169', 'destination': '35.186.224.41', 'protocol': 'TCP', 'size': 66, 'time_relative': 5.673119, 'src_port': 51867, 'dst_port': 443, 'tcp_flags': <Flag 16 (A)>}
